N,repetitions,custom_coefficient,custom_exponent,lgamma_coefficient,lgamma_exponent,exponent_difference,coefficient_relative_error,relative_error_percent,custom_time,lgamma_time,time_ratio
10,100000,3.628800000000001e+00,6,3.628799999999994e+00,6,0,1.958065299162537e-15,1.958065299162536e-13,2.217000001110137e-08,4.366999957710504e-08,5.076711753101201e-01
100,100000,9.332621544394479e+00,157,9.332621544394282e+00,157,0,2.112756937967371e-14,2.112756937967371e-12,4.642100003547966e-07,2.776000066660345e-08,1.672226185906625e+01
1000,10000,4.023872600771507e+00,2567,4.023872600765529e+00,2567,0,1.485715263913720e-12,1.485715263913720e-10,4.713399999309332e-06,2.060000551864505e-08,2.288057639131814e+02
10000,1000,2.846259680922505e+00,35659,2.846259680907589e+00,35659,0,5.240429884625951e-12,5.240429884625950e-10,5.759900005068630e-05,1.999991945922375e-08,2.879961600251458e+03
100000,100,2.824229408029200e+00,456573,2.824229408234764e+00,456573,0,7.278571831654418e-11,7.278571831654418e-09,6.777700001839548e-04,2.000015228986740e-08,3.388824196740396e+04
1000000,10,8.263931690786794e+00,5565708,8.263931668544735e+00,5565708,0,2.691462097396876e-09,2.691462097396876e-07,7.865099993068725e-03,0.000000000000000e+00,0.000000000000000e+00
